trait	SNP	schemes	original_p	recorded_nominal	all_same_direction	min_effect_ratio	max_effect_ratio	minimum_p	maximum_p	schemes_nominal	largest_log10p_drop	worst_scheme	annotation_label	minor_carriers	primary_neglogp	alternative_low	alternative_high
"NightPWake"	"2R_5727338"	6	8.99195e-06	TRUE	TRUE	0.984606509503612	1.07486317727622	6.61555e-06	1.40831e-05	4	0.194844379770329	"prop01_48h"	"INTRON|ap"	22	5.04614611667542	4.85130173690509	5.17943404383694
"NightPWake"	"2R_7954848"	6	1.14377e-05	FALSE	TRUE	0.981647781289345	1.00813869832216	1.16096e-05	3.50287e-05	0	0.486085318666845	"prop001_24h"	"INTRON|CG14764"	29	4.94166129877144	4.4555759801046	4.93518274329204
"NightPWake"	"3L_2125773"	6	1.30969e-05	FALSE	TRUE	0.995581208507759	1.03121062201362	1.38187e-05	2.83427e-05	0	0.335272708397347	"zero_24h"	"SYNONYMOUS_CODING|zormin"	63	4.88283148848283	4.54755878008549	4.85953281147574
"NightPWake"	"3L_3724365"	6	8.6859e-07	TRUE	TRUE	1.00264432466214	1.04303570033591	6.94482e-07	1.40507e-06	6	0.208883136088645	"zero_24h"	"INTRON|CG32264"	80	6.06118517493904	5.8523020388504	6.15833900608473
"NightPWake"	"3L_4047811"	6	2.7678e-06	TRUE	TRUE	1.00491263647204	1.07042278663592	1.77642e-06	4.76059e-06	6	0.235526075011272	"recovery_aware"	"INTRON|CG1136"	46	5.55786529500809	5.32233921999682	5.75045434592352
"NightPWake"	"3R_15397393"	6	7.7981e-06	TRUE	TRUE	0.959865713919358	1.01239989742036	6.88333e-06	5.42515e-05	3	0.842422950374658	"zero_24h"	"INTRON|Rbp"	24	5.10801119987774	4.26558824950308	5.16220140903939
"NightPWake"	"X_17878203"	6	2.47708e-06	TRUE	TRUE	1.00332312292305	1.07047620595237	1.98811e-06	2.67666e-06	6	0.0336531760515157	"prop005_24h"	"UTR_5_PRIME|mnb"	77	5.60605996717375	5.57240679112223	5.70155959022473
"NightPWake"	"X_9393204"	6	7.92928e-06	TRUE	TRUE	1.00104105728646	1.06752719015179	5.92446e-06	1.40254e-05	5	0.247681502048794	"recovery_aware"	"INTRON|mgl"	26	5.10076624600184	4.85308474395305	5.22735122839091
"NightSleepChange"	"2L_12681166"	6	1.727e-05	FALSE	TRUE	1.00285523279636	1.0155334152811	1.32282e-05	1.62594e-05	0	-0.0261878222317309	"current_simulated"	"INTRON|pdm2"	37	4.76270766243254	4.78889548466427	4.87849924751705
"NightSleepChange"	"2L_6268648"	6	1.78068e-05	FALSE	TRUE	0.983753900353288	1.00003570571351	1.79083e-05	2.20555e-05	0	0.0929310268399171	"recovery_aware"	"INTRON|Ddr"	25	4.74941411912225	4.65648309228233	4.74694563892265
"NightSleepChange"	"2R_22391929"	6	1.12608e-05	FALSE	TRUE	0.994268540244128	1.01457910416282	8.5079e-06	1.068e-05	3	-0.0229979924625603	"prop005_24h"	"SYNONYMOUS_CODING|CG13506"	68	4.9484307548449	4.97142874730746	5.07017762334188
"NightSleepChange"	"2R_6256391"	6	1.06078e-06	TRUE	TRUE	1.00022501056452	1.03086486377714	4.8148e-07	1.05102e-06	6	-0.00401434257307276	"current_simulated"	"INTERGENIC|unassigned"	31	5.97437467707233	5.97838901964541	6.31742174814492
"NightSleepChange"	"2R_7202244"	6	1.61993e-05	FALSE	TRUE	0.987069286173199	1.00027277133421	1.59752e-05	2.11522e-05	0	0.115859295875192	"zero_24h"	"INTRON|pk"	35	4.79050375167376	4.67464445579857	4.79655369602699
"NightSleepChange"	"3L_12509851"	6	1.25493e-05	FALSE	TRUE	0.978602157688235	1.00217149989513	1.19919e-05	1.87134e-05	0	0.17353319921489	"prop005_24h"	"SYNONYMOUS_CODING|sti"	70	4.90138049845513	4.72784729924024	4.92111200170992
"NightSleepChange"	"3L_1888560"	6	5.9602e-06	TRUE	TRUE	0.999340985952993	1.01049135256496	4.45709e-06	6.14125e-06	6	0.0129959440068284	"prop01_48h"	"INTRON|Tmhs"	28	5.22473916686395	5.21174322285712	5.35094859631348
"NightSleepChange"	"3R_21998760"	6	2.27025e-06	TRUE	TRUE	0.989816933638444	1.0020485251246	2.14144e-06	2.67216e-06	6	0.070788774334253	"prop005_24h"	"INTRON|Eip93F"	18	5.64392631565173	5.57313754131747	5.66929408938974
"NightSleepChange"	"3R_22697510"	6	1.20592e-05	FALSE	TRUE	0.977492732146183	0.999595105636939	1.21285e-05	1.87944e-05	0	0.192709967751354	"prop005_24h"	"SYNONYMOUS_CODING|cd"	21	4.91868150207229	4.72597153432093	4.9161929074603
"NightSleepChange"	"3R_29419559"	6	8.47576e-07	TRUE	TRUE	0.962514313137777	1.00807429360455	6.89731e-07	2.09604e-06	6	0.393220915584387	"zero_24h"	"INTRON|Ptp99A"	58	6.07182134928915	5.67860043370476	6.16132025418159
"TotalSleep"	"2L_10170542"	6	1.648e-05	FALSE	TRUE	1.00357639755984	1.04762584281688	9.98629e-06	1.62077e-05	1	-0.00723581794005224	"prop01_48h"	"INTRON|CG44153"	20	4.7830427926389	4.79027861057896	5.00059582626699
"TotalSleep"	"2L_15943639"	6	6.9292e-06	TRUE	TRUE	0.972313811106687	1.01312504753426	6.70559e-06	1.65394e-05	4	0.377836653883819	"recovery_aware"	"INTRON|beat-Ib"	43	5.15931690328734	4.78148024940352	5.17356300417011
"TotalSleep"	"2L_17491087"	6	7.72843e-06	TRUE	TRUE	0.999694430973565	1.01935847824151	7.68553e-06	8.66663e-06	6	0.0497589781761318	"recovery_aware"	"INTRON|qua"	79	5.11190872232859	5.06214974415246	5.11432617785341
"TotalSleep"	"2L_20321158"	6	7.77988e-06	TRUE	TRUE	1.00130240775556	1.01863512700678	6.75234e-06	9.56115e-06	6	0.0895372333627114	"zero_24h"	"INTRON|spir"	80	5.10902710169151	5.0194898683288	5.17054569783883
"TotalSleep"	"2R_18433628"	6	1.30411e-05	FALSE	TRUE	0.994048510868676	1.01485039439475	1.29827e-05	2.00257e-05	0	0.186273480699642	"prop001_24h"	"INTRON|Ttd14"	50	4.8846857748785	4.69841229417886	4.88663497832448
"TotalSleep"	"3L_3724365"	6	5.34047e-06	TRUE	TRUE	1.0009566298248	1.02442510348707	4.34858e-06	5.76597e-06	6	0.0332928986824443	"prop001_24h"	"INTRON|CG32264"	80	5.27242052023281	5.23912762155037	5.36165253588276
"TotalSleep"	"3L_4047811"	6	7.6401e-06	TRUE	TRUE	1.00192208575563	1.04242542914953	4.82619e-06	7.53792e-06	6	-0.00584751905369885	"current_simulated"	"INTRON|CG1136"	46	5.11690095697876	5.12274847603246	5.31639558455585
"TotalSleep"	"3R_13161784"	6	1.51706e-05	FALSE	TRUE	1.00252923261104	1.03965718557682	9.85927e-06	1.47937e-05	1	-0.0109259501127328	"current_simulated"	"INTRON|timeout"	64	4.81899724244754	4.82992319256027	5.00615523989737
"TotalSleep"	"3R_16911341"	6	1.09855e-05	FALSE	TRUE	1.00083300040654	1.06300107434792	4.72985e-06	1.12867e-05	4	0.0117471532486686	"prop01_48h"	"INTRON|lncRNA:iab8"	57	4.95918017157923	4.94743301833056	5.32515263203285
"TotalSleep"	"X_2509888"	6	8.98358e-06	TRUE	TRUE	1.00266944527141	1.02308226654758	8.43512e-06	9.64302e-06	6	0.0307636278976258	"recovery_aware"	"INTRON|trol"	28	5.04655056039155	5.01578693249392	5.07390873465552
