phenotype	scheme	estimate	common_lines	rho	median_abs_difference	max_abs_difference	rms_difference_over_baseline_sd	sign_discordance	short	rule
"PWakeDark__State_D2_D6"	"prop001_24h"	"batchFE"	176	0.987514858023333	0.0536597790808603	0.542864147951219	0.162700080738545	0	"Night P(Wake)"	"Activity fraction 0.001 / 24 h"
"PWakeDark__State_D2_D6"	"zero_24h"	"batchFE"	176	0.975053929121726	0.0669603609427718	0.533335896303661	0.220531189478943	0.00568181818181818	"Night P(Wake)"	"Zero movement / 24 h"
"PWakeDark__State_D2_D6"	"prop01_48h"	"batchFE"	176	0.998600044023773	0.00315313463566425	0.291327752362219	0.0392492401420722	0	"Night P(Wake)"	"Activity fraction 0.01 / 48 h"
"TotalSleep__State_D2_D6"	"current_simulated"	"batchFE"	176	0.999986792868149	0.0297468753497014	10.1846434882232	0.0050613260278659	0	"Total sleep"	"Reimplemented QC"
"TotalSleep__State_D2_D6"	"recovery_aware"	"batchFE"	176	0.995269645608629	4.87050648045641	105.483501378016	0.0812256846212232	0	"Total sleep"	"Recovery-aware"
"TotalSleep__State_D2_D6"	"prop005_24h"	"batchFE"	176	0.998534008364517	3.97495663737448	49.9444490338622	0.0404430995803579	0	"Total sleep"	"Activity fraction 0.005 / 24 h"
"TotalSleep__State_D2_D6"	"prop001_24h"	"batchFE"	176	0.99528285274048	10.6638182729338	112.967597006767	0.0879061494319721	0	"Total sleep"	"Activity fraction 0.001 / 24 h"
"TotalSleep__State_D2_D6"	"zero_24h"	"batchFE"	176	0.991613471274488	11.535990930317	117.606894822602	0.113078205739191	0	"Total sleep"	"Zero movement / 24 h"
"TotalSleep__State_D2_D6"	"prop01_48h"	"batchFE"	176	0.999537750385208	0.556186540223735	75.6718038577566	0.0296898145897924	0	"Total sleep"	"Activity fraction 0.01 / 48 h"
"TwoHarmonicR2__State_D2_D6"	"current_simulated"	"batchFE"	176	0.999949372661237	2.181034448967e-05	0.00419165859061321	0.00513582169141052	0	"LD harmonic R2"	"Reimplemented QC"
"TwoHarmonicR2__State_D2_D6"	"recovery_aware"	"batchFE"	176	0.995097952894563	0.00388736337798323	0.0705338882502843	0.0883218090638632	0	"LD harmonic R2"	"Recovery-aware"
"TwoHarmonicR2__State_D2_D6"	"prop005_24h"	"batchFE"	176	0.996900726392252	0.00413815903864156	0.0296838192686846	0.0639800871780981	0	"LD harmonic R2"	"Activity fraction 0.005 / 24 h"
"TwoHarmonicR2__State_D2_D6"	"prop001_24h"	"batchFE"	176	0.99706361435175	0.00380348374754813	0.0335966242259355	0.0727782943438331	0	"LD harmonic R2"	"Activity fraction 0.001 / 24 h"
"TwoHarmonicR2__State_D2_D6"	"zero_24h"	"batchFE"	176	0.996042262821924	0.00471130537417935	0.0339767368464577	0.0866323029404835	0	"LD harmonic R2"	"Zero movement / 24 h"
"TwoHarmonicR2__State_D2_D6"	"prop01_48h"	"batchFE"	176	0.998941228263262	0.00179368060387239	0.0270231316975623	0.0355251876494607	0	"LD harmonic R2"	"Activity fraction 0.01 / 48 h"
