phenotype	metric	contrast	family	unit	definition	aggregation	eligibility	selection_class
"PWakeLight__D6_D1"	"PWakeLight"	"D6_D1"	"sleep_architecture"	"log odds"	"Corrected log odds of inactive-to-active transitions, ZT0-8; >=30 opportunities"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"PWakeLight__Late2_Early2"	"PWakeLight"	"Late2_Early2"	"sleep_architecture"	"log odds"	"Corrected log odds of inactive-to-active transitions, ZT0-8; >=30 opportunities"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"PDozeLight__State_D2_D6"	"PDozeLight"	"State_D2_D6"	"sleep_architecture"	"log odds"	"Corrected log odds of active-to-inactive transitions, ZT0-8; >=30 opportunities"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"PDozeLight__D6_D1"	"PDozeLight"	"D6_D1"	"sleep_architecture"	"log odds"	"Corrected log odds of active-to-inactive transitions, ZT0-8; >=30 opportunities"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"PDozeLight__Late2_Early2"	"PDozeLight"	"Late2_Early2"	"sleep_architecture"	"log odds"	"Corrected log odds of active-to-inactive transitions, ZT0-8; >=30 opportunities"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"FragmentationLight__State_D2_D6"	"FragmentationLight"	"State_D2_D6"	"sleep_architecture"	"log1p scale"	"log1p(bouts per sleep hour), ZT0-8; >=30 sleep minutes; bouts clipped at window boundary"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"FragmentationLight__D6_D1"	"FragmentationLight"	"D6_D1"	"sleep_architecture"	"log1p scale"	"log1p(bouts per sleep hour), ZT0-8; >=30 sleep minutes; bouts clipped at window boundary"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"FragmentationLight__Late2_Early2"	"FragmentationLight"	"Late2_Early2"	"sleep_architecture"	"log1p scale"	"log1p(bouts per sleep hour), ZT0-8; >=30 sleep minutes; bouts clipped at window boundary"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"MovingLight__State_D2_D6"	"MovingLight"	"State_D2_D6"	"activity"	"dimensionless"	"Fraction of observed minutes with >=1 beam crossing, ZT0-8"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"MovingLight__D6_D1"	"MovingLight"	"D6_D1"	"activity"	"dimensionless"	"Fraction of observed minutes with >=1 beam crossing, ZT0-8"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"MovingLight__Late2_Early2"	"MovingLight"	"Late2_Early2"	"activity"	"dimensionless"	"Fraction of observed minutes with >=1 beam crossing, ZT0-8"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"MovingDark__State_D2_D6"	"MovingDark"	"State_D2_D6"	"activity"	"dimensionless"	"Fraction of observed minutes with >=1 beam crossing, ZT8-24"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"MovingDark__D6_D1"	"MovingDark"	"D6_D1"	"activity"	"dimensionless"	"Fraction of observed minutes with >=1 beam crossing, ZT8-24"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"MovingDark__Late2_Early2"	"MovingDark"	"Late2_Early2"	"activity"	"dimensionless"	"Fraction of observed minutes with >=1 beam crossing, ZT8-24"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"Harmonic24Amplitude__State_D2_D6"	"Harmonic24Amplitude"	"State_D2_D6"	"LD_profile"	"dimensionless"	"24-hour harmonic amplitude from 48-bin moving profile"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"Harmonic24Amplitude__D6_D1"	"Harmonic24Amplitude"	"D6_D1"	"LD_profile"	"dimensionless"	"24-hour harmonic amplitude from 48-bin moving profile"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"Harmonic24Amplitude__Late2_Early2"	"Harmonic24Amplitude"	"Late2_Early2"	"LD_profile"	"dimensionless"	"24-hour harmonic amplitude from 48-bin moving profile"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"Harmonic12Amplitude__State_D2_D6"	"Harmonic12Amplitude"	"State_D2_D6"	"LD_profile"	"dimensionless"	"12-hour harmonic amplitude from 48-bin moving profile"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"Harmonic12Amplitude__D6_D1"	"Harmonic12Amplitude"	"D6_D1"	"LD_profile"	"dimensionless"	"12-hour harmonic amplitude from 48-bin moving profile"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"Harmonic12Amplitude__Late2_Early2"	"Harmonic12Amplitude"	"Late2_Early2"	"LD_profile"	"dimensionless"	"12-hour harmonic amplitude from 48-bin moving profile"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"TwoHarmonicR2__State_D2_D6"	"TwoHarmonicR2"	"State_D2_D6"	"LD_profile"	"dimensionless"	"Variance explained by fixed 24h + 12h harmonics in daily moving profile; LD descriptive only"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"TwoHarmonicR2__D6_D1"	"TwoHarmonicR2"	"D6_D1"	"LD_profile"	"dimensionless"	"Variance explained by fixed 24h + 12h harmonics in daily moving profile; LD descriptive only"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"TwoHarmonicR2__Late2_Early2"	"TwoHarmonicR2"	"Late2_Early2"	"LD_profile"	"dimensionless"	"Variance explained by fixed 24h + 12h harmonics in daily moving profile; LD descriptive only"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"EveningPeakOffset__State_D2_D6"	"EveningPeakOffset"	"State_D2_D6"	"LD_profile"	"hours relative to LD transition"	"Local smoothed moving peak offset in hours from dusk ZT8, searched ZT5-11; range >=0.10, unique interior maximum"	"Mean of >=3 identifiable D2-D6 daily peak offsets"	"conditional on identifiable peak; descriptive / validation required"	"conditional_phase"
"EveningPeakOffset__D6_D1"	"EveningPeakOffset"	"D6_D1"	"LD_profile"	"hours relative to LD transition"	"Local smoothed moving peak offset in hours from dusk ZT8, searched ZT5-11; range >=0.10, unique interior maximum"	"Strict within-fly contrast of daily values; all specified days valid"	"conditional on identifiable peak; descriptive / validation required"	"conditional_phase"
"EveningPeakOffset__Late2_Early2"	"EveningPeakOffset"	"Late2_Early2"	"LD_profile"	"hours relative to LD transition"	"Local smoothed moving peak offset in hours from dusk ZT8, searched ZT5-11; range >=0.10, unique interior maximum"	"Strict within-fly contrast of daily values; all specified days valid"	"conditional on identifiable peak; descriptive / validation required"	"conditional_phase"
"EveningPeakAmplitude__State_D2_D6"	"EveningPeakAmplitude"	"State_D2_D6"	"LD_profile"	"dimensionless"	"Max-minus-min within ZT5-11"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"EveningPeakAmplitude__D6_D1"	"EveningPeakAmplitude"	"D6_D1"	"LD_profile"	"dimensionless"	"Max-minus-min within ZT5-11"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"EveningPeakAmplitude__Late2_Early2"	"EveningPeakAmplitude"	"Late2_Early2"	"LD_profile"	"dimensionless"	"Max-minus-min within ZT5-11"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"DawnAnticipation__State_D2_D6"	"DawnAnticipation"	"State_D2_D6"	"LD_transition"	"dimensionless"	"Moving minutes ZT21-24 / ZT18-24; >=10 active denominator minutes; relates to next dawn"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"DawnAnticipation__D6_D1"	"DawnAnticipation"	"D6_D1"	"LD_transition"	"dimensionless"	"Moving minutes ZT21-24 / ZT18-24; >=10 active denominator minutes; relates to next dawn"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"DawnAnticipation__Late2_Early2"	"DawnAnticipation"	"Late2_Early2"	"LD_transition"	"dimensionless"	"Moving minutes ZT21-24 / ZT18-24; >=10 active denominator minutes; relates to next dawn"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"DuskAnticipation__State_D2_D6"	"DuskAnticipation"	"State_D2_D6"	"LD_transition"	"dimensionless"	"Moving minutes ZT5-8 / ZT2-8; >=10 active denominator minutes"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"DuskAnticipation__D6_D1"	"DuskAnticipation"	"D6_D1"	"LD_transition"	"dimensionless"	"Moving minutes ZT5-8 / ZT2-8; >=10 active denominator minutes"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"DuskAnticipation__Late2_Early2"	"DuskAnticipation"	"Late2_Early2"	"LD_transition"	"dimensionless"	"Moving minutes ZT5-8 / ZT2-8; >=10 active denominator minutes"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"DuskResponse__State_D2_D6"	"DuskResponse"	"State_D2_D6"	"LD_transition"	"dimensionless"	"Moving probability ZT8-8.5 minus ZT7.5-8"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"DuskResponse__D6_D1"	"DuskResponse"	"D6_D1"	"LD_transition"	"dimensionless"	"Moving probability ZT8-8.5 minus ZT7.5-8"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"DuskResponse__Late2_Early2"	"DuskResponse"	"Late2_Early2"	"LD_transition"	"dimensionless"	"Moving probability ZT8-8.5 minus ZT7.5-8"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"DawnResponse__State_D2_D6"	"DawnResponse"	"State_D2_D6"	"LD_transition"	"dimensionless"	"Moving probability ZT0-0.5 minus previous-day ZT23.5-24; D1 unavailable"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"SiestaMoving__State_D2_D6"	"SiestaMoving"	"State_D2_D6"	"LD_transition"	"dimensionless"	"Moving probability ZT2-6"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"SiestaMoving__D6_D1"	"SiestaMoving"	"D6_D1"	"LD_transition"	"dimensionless"	"Moving probability ZT2-6"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"SiestaMoving__Late2_Early2"	"SiestaMoving"	"Late2_Early2"	"LD_transition"	"dimensionless"	"Moving probability ZT2-6"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"DarkCoreMoving__State_D2_D6"	"DarkCoreMoving"	"State_D2_D6"	"LD_transition"	"dimensionless"	"Moving probability ZT12-20"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"DarkCoreMoving__D6_D1"	"DarkCoreMoving"	"D6_D1"	"LD_transition"	"dimensionless"	"Moving probability ZT12-20"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"DarkCoreMoving__Late2_Early2"	"DarkCoreMoving"	"Late2_Early2"	"LD_transition"	"dimensionless"	"Moving probability ZT12-20"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"MorningPeakOffset__State_D2_D6"	"MorningPeakOffset"	"State_D2_D6"	"LD_profile"	"hours relative to LD transition"	"Local smoothed moving peak offset from dawn; previous-day ZT21-24 plus current ZT0-3; range >=0.10, unique interior maximum"	"Mean of >=3 identifiable D2-D6 daily peak offsets"	"conditional on identifiable peak; descriptive / validation required"	"conditional_phase"
"MorningPeakAmplitude__State_D2_D6"	"MorningPeakAmplitude"	"State_D2_D6"	"LD_profile"	"dimensionless"	"Max-minus-min within contiguous previous-day ZT21-24 and current ZT0-3 around dawn"	"Strict within-fly contrast of daily values; all specified days valid"	"finite values and >=8 flies per line-batch"	"continuous"
"LD24hLagCorrelation__State_D2_D6"	"LD24hLagCorrelation"	"State_D2_D6"	"LD_profile"	"dimensionless"	"Pearson correlation of adjacent D2-D6 daily moving profiles after centering each day; 48-bin lag"	"Computed per fly over all 5 complete days"	"240 valid half-hour bins; nonconstant profile; >=8 flies per line-batch"	"continuous"
"LDInterdailyStability__State_D2_D6"	"LDInterdailyStability"	"State_D2_D6"	"LD_profile"	"dimensionless"	"Five times sum of squared mean-profile deviations divided by total D2-D6 squared deviations"	"Computed per fly over all 5 complete days"	"240 valid half-hour bins; nonconstant profile; >=8 flies per line-batch"	"continuous"
"LDIntradailyVariability__State_D2_D6"	"LDIntradailyVariability"	"State_D2_D6"	"LD_profile"	"dimensionless"	"Mean squared successive 30-min difference / population variance, D2-D6"	"Computed per fly over all 5 complete days"	"240 valid half-hour bins; nonconstant profile; >=8 flies per line-batch"	"continuous"
"OddEvenProfileCorrelation__State_D2_D6"	"OddEvenProfileCorrelation"	"State_D2_D6"	"LD_profile"	"dimensionless"	"Correlation of average D2/D4/D6 and D3/D5 moving profiles"	"Computed per fly over all 5 complete days"	"240 valid half-hour bins; nonconstant profile; >=8 flies per line-batch"	"continuous"
"PCA_moving_raw_PC1"	"PCA_moving_raw_PC1"	"State_D2_D6"	"profile_PCA"	"PC score"	"PC 1 of moving raw 48-bin profiles; basis trained on equal-weight batch-adjusted DGRP line means"	"Per-fly projection; mean score per line-batch (linear projection); batch-adjusted line score"	"All bins valid for required days; >=8 flies per line-batch"	"PCA_discovery"
"PCA_moving_raw_PC2"	"PCA_moving_raw_PC2"	"State_D2_D6"	"profile_PCA"	"PC score"	"PC 2 of moving raw 48-bin profiles; basis trained on equal-weight batch-adjusted DGRP line means"	"Per-fly projection; mean score per line-batch (linear projection); batch-adjusted line score"	"All bins valid for required days; >=8 flies per line-batch"	"PCA_discovery"
"PCA_moving_raw_PC3"	"PCA_moving_raw_PC3"	"State_D2_D6"	"profile_PCA"	"PC score"	"PC 3 of moving raw 48-bin profiles; basis trained on equal-weight batch-adjusted DGRP line means"	"Per-fly projection; mean score per line-batch (linear projection); batch-adjusted line score"	"All bins valid for required days; >=8 flies per line-batch"	"PCA_discovery"
"PCA_moving_centered_shape_PC1"	"PCA_moving_centered_shape_PC1"	"State_D2_D6"	"profile_PCA"	"PC score"	"PC 1 of moving centered_shape 48-bin profiles; basis trained on equal-weight batch-adjusted DGRP line means"	"Per-fly projection; mean score per line-batch (linear projection); batch-adjusted line score"	"All bins valid for required days; >=8 flies per line-batch"	"PCA_discovery"
"PCA_moving_centered_shape_PC2"	"PCA_moving_centered_shape_PC2"	"State_D2_D6"	"profile_PCA"	"PC score"	"PC 2 of moving centered_shape 48-bin profiles; basis trained on equal-weight batch-adjusted DGRP line means"	"Per-fly projection; mean score per line-batch (linear projection); batch-adjusted line score"	"All bins valid for required days; >=8 flies per line-batch"	"PCA_discovery"
"PCA_moving_centered_shape_PC3"	"PCA_moving_centered_shape_PC3"	"State_D2_D6"	"profile_PCA"	"PC score"	"PC 3 of moving centered_shape 48-bin profiles; basis trained on equal-weight batch-adjusted DGRP line means"	"Per-fly projection; mean score per line-batch (linear projection); batch-adjusted line score"	"All bins valid for required days; >=8 flies per line-batch"	"PCA_discovery"
"PCA_moving_change_PC1"	"PCA_moving_change_PC1"	"Late2_Early2"	"profile_PCA"	"PC score"	"PC 1 of moving change 48-bin profiles; basis trained on equal-weight batch-adjusted DGRP line means"	"Per-fly projection; mean score per line-batch (linear projection); batch-adjusted line score"	"All bins valid for required days; >=8 flies per line-batch"	"PCA_discovery"
"PCA_moving_change_PC2"	"PCA_moving_change_PC2"	"Late2_Early2"	"profile_PCA"	"PC score"	"PC 2 of moving change 48-bin profiles; basis trained on equal-weight batch-adjusted DGRP line means"	"Per-fly projection; mean score per line-batch (linear projection); batch-adjusted line score"	"All bins valid for required days; >=8 flies per line-batch"	"PCA_discovery"
"PCA_moving_change_PC3"	"PCA_moving_change_PC3"	"Late2_Early2"	"profile_PCA"	"PC score"	"PC 3 of moving change 48-bin profiles; basis trained on equal-weight batch-adjusted DGRP line means"	"Per-fly projection; mean score per line-batch (linear projection); batch-adjusted line score"	"All bins valid for required days; >=8 flies per line-batch"	"PCA_discovery"
"PCA_sleep_raw_PC1"	"PCA_sleep_raw_PC1"	"State_D2_D6"	"profile_PCA"	"PC score"	"PC 1 of sleep raw 48-bin profiles; basis trained on equal-weight batch-adjusted DGRP line means"	"Per-fly projection; mean score per line-batch (linear projection); batch-adjusted line score"	"All bins valid for required days; >=8 flies per line-batch"	"PCA_discovery"
"PCA_sleep_raw_PC2"	"PCA_sleep_raw_PC2"	"State_D2_D6"	"profile_PCA"	"PC score"	"PC 2 of sleep raw 48-bin profiles; basis trained on equal-weight batch-adjusted DGRP line means"	"Per-fly projection; mean score per line-batch (linear projection); batch-adjusted line score"	"All bins valid for required days; >=8 flies per line-batch"	"PCA_discovery"
"PCA_sleep_raw_PC3"	"PCA_sleep_raw_PC3"	"State_D2_D6"	"profile_PCA"	"PC score"	"PC 3 of sleep raw 48-bin profiles; basis trained on equal-weight batch-adjusted DGRP line means"	"Per-fly projection; mean score per line-batch (linear projection); batch-adjusted line score"	"All bins valid for required days; >=8 flies per line-batch"	"PCA_discovery"
